#    L    TT             EE             TE          
   448    0.19309E+04    0.15640E+02   -0.70664E+02
   449    0.19413E+04    0.15466E+02   -0.71211E+02
   450    0.19518E+04    0.15291E+02   -0.71723E+02
   451    0.19623E+04    0.15114E+02   -0.72198E+02
   452    0.19729E+04    0.14937E+02   -0.72639E+02
   453    0.19837E+04    0.14759E+02   -0.73042E+02
   454    0.19944E+04    0.14581E+02   -0.73410E+02
   455    0.20052E+04    0.14402E+02   -0.73743E+02
   456    0.20162E+04    0.14222E+02   -0.74033E+02
   457    0.20271E+04    0.14043E+02   -0.74296E+02
   458    0.20381E+04    0.13863E+02   -0.74513E+02
   459    0.20492E+04    0.13684E+02   -0.74700E+02
   460    0.20603E+04    0.13503E+02   -0.74850E+02
   461    0.20714E+04    0.13323E+02   -0.74964E+02
   462    0.20825E+04    0.13143E+02   -0.75037E+02
   463    0.20936E+04    0.12964E+02   -0.75088E+02
   464    0.21046E+04    0.12785E+02   -0.75086E+02
   465    0.21157E+04    0.12607E+02   -0.75061E+02
   466    0.21268E+04    0.12429E+02   -0.74992E+02
   467    0.21379E+04    0.12252E+02   -0.74892E+02
   468    0.21489E+04    0.12075E+02   -0.74756E+02
   469    0.21599E+04    0.11899E+02   -0.74590E+02
   470    0.21710E+04    0.11725E+02   -0.74387E+02
   471    0.21818E+04    0.11552E+02   -0.74146E+02
   472    0.21927E+04    0.11380E+02   -0.73877E+02
   473    0.22035E+04    0.11209E+02   -0.73571E+02
   474    0.22143E+04    0.11041E+02   -0.73235E+02
   475    0.22251E+04    0.10872E+02   -0.72863E+02
   476    0.22357E+04    0.10706E+02   -0.72456E+02
   477    0.22462E+04    0.10542E+02   -0.72025E+02
   478    0.22566E+04    0.10379E+02   -0.71551E+02
   479    0.22670E+04    0.10218E+02   -0.71059E+02
   480    0.22772E+04    0.10059E+02   -0.70529E+02
   481    0.22874E+04    0.99027E+01   -0.69965E+02
   482    0.22976E+04    0.97488E+01   -0.69373E+02
   483    0.23074E+04    0.95968E+01   -0.68755E+02
   484    0.23172E+04    0.94475E+01   -0.68106E+02
   485    0.23269E+04    0.93001E+01   -0.67428E+02
   486    0.23365E+04    0.91563E+01   -0.66721E+02
   487    0.23459E+04    0.90151E+01   -0.65988E+02
   488    0.23552E+04    0.88759E+01   -0.65226E+02
   489    0.23643E+04    0.87402E+01   -0.64437E+02
   490    0.23734E+04    0.86079E+01   -0.63622E+02
   491    0.23821E+04    0.84784E+01   -0.62782E+02
   492    0.23908E+04    0.83523E+01   -0.61918E+02
   493    0.23993E+04    0.82282E+01   -0.61027E+02
   494    0.24077E+04    0.81090E+01   -0.60114E+02
   495    0.24158E+04    0.79926E+01   -0.59177E+02
   496    0.24237E+04    0.78804E+01   -0.58218E+02
   497    0.24315E+04    0.77717E+01   -0.57236E+02
   498    0.24390E+04    0.76657E+01   -0.56234E+02
   499    0.24465E+04    0.75646E+01   -0.55210E+02
   500    0.24538E+04    0.74663E+01   -0.54167E+02
   501    0.24607E+04    0.73730E+01   -0.53105E+02
   502    0.24676E+04    0.72838E+01   -0.52023E+02
   503    0.24742E+04    0.71982E+01   -0.50924E+02
   504    0.24805E+04    0.71167E+01   -0.49806E+02
   505    0.24868E+04    0.70401E+01   -0.48673E+02
   506    0.24927E+04    0.69679E+01   -0.47522E+02
