#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   152   0.445409E+04  -0.450116E+02   0.204488E-03  -0.450116E+02   0.101960E+01  -0.606905E-06   0.204488E-03  -0.606905E-06   0.614229E-07
   153   0.448614E+04  -0.450425E+02   0.202584E-03  -0.450425E+02   0.101543E+01  -0.601070E-06   0.202584E-03  -0.601070E-06   0.610306E-07
   154   0.451798E+04  -0.450515E+02   0.200706E-03  -0.450515E+02   0.101091E+01  -0.596534E-06   0.200706E-03  -0.596534E-06   0.606419E-07
   155   0.454961E+04  -0.450378E+02   0.198853E-03  -0.450378E+02   0.100603E+01  -0.593196E-06   0.198853E-03  -0.593196E-06   0.602566E-07
   156   0.458088E+04  -0.450014E+02   0.197024E-03  -0.450014E+02   0.100079E+01  -0.590956E-06   0.197024E-03  -0.590956E-06   0.598747E-07
   157   0.461210E+04  -0.449408E+02   0.195218E-03  -0.449408E+02   0.995184E+00  -0.589712E-06   0.195218E-03  -0.589712E-06   0.594963E-07
   158   0.464304E+04  -0.448566E+02   0.193436E-03  -0.448566E+02   0.989287E+00  -0.589362E-06   0.193436E-03  -0.589362E-06   0.591213E-07
   159   0.467370E+04  -0.447490E+02   0.191675E-03  -0.447490E+02   0.982944E+00  -0.589806E-06   0.191675E-03  -0.589806E-06   0.587497E-07
   160   0.470416E+04  -0.446163E+02   0.189936E-03  -0.446163E+02   0.976300E+00  -0.590943E-06   0.189936E-03  -0.590943E-06   0.583815E-07
   161   0.473442E+04  -0.444600E+02   0.188219E-03  -0.444600E+02   0.969427E+00  -0.592670E-06   0.188219E-03  -0.592670E-06   0.580165E-07
   162   0.476441E+04  -0.442801E+02   0.186522E-03  -0.442801E+02   0.962172E+00  -0.594889E-06   0.186522E-03  -0.594889E-06   0.576549E-07
   163   0.479427E+04  -0.440751E+02   0.184844E-03  -0.440751E+02   0.954606E+00  -0.597496E-06   0.184844E-03  -0.597496E-06   0.572966E-07
   164   0.482371E+04  -0.438464E+02   0.183186E-03  -0.438464E+02   0.946799E+00  -0.600390E-06   0.183186E-03  -0.600390E-06   0.569414E-07
   165   0.485303E+04  -0.435917E+02   0.181546E-03  -0.435917E+02   0.938675E+00  -0.603472E-06   0.181546E-03  -0.603472E-06   0.565895E-07
   166   0.488207E+04  -0.433126E+02   0.179925E-03  -0.433126E+02   0.930377E+00  -0.606639E-06   0.179925E-03  -0.606639E-06   0.562408E-07
   167   0.491092E+04  -0.430098E+02   0.178320E-03  -0.430098E+02   0.921679E+00  -0.609790E-06   0.178320E-03  -0.609790E-06   0.558953E-07
   168   0.493936E+04  -0.426809E+02   0.176733E-03  -0.426809E+02   0.912950E+00  -0.612824E-06   0.176733E-03  -0.612824E-06   0.555529E-07
   169   0.496753E+04  -0.423260E+02   0.175161E-03  -0.423260E+02   0.903888E+00  -0.615641E-06   0.175161E-03  -0.615641E-06   0.552136E-07
   170   0.499543E+04  -0.419465E+02   0.173605E-03  -0.419465E+02   0.894713E+00  -0.618138E-06   0.173605E-03  -0.618138E-06   0.548774E-07
   171   0.502292E+04  -0.415401E+02   0.172064E-03  -0.415401E+02   0.885421E+00  -0.620215E-06   0.172064E-03  -0.620215E-06   0.545443E-07
   172   0.505007E+04  -0.411084E+02   0.170538E-03  -0.411084E+02   0.875934E+00  -0.621770E-06   0.170538E-03  -0.621770E-06   0.542142E-07
   173   0.507680E+04  -0.406513E+02   0.169024E-03  -0.406513E+02   0.866250E+00  -0.622702E-06   0.169024E-03  -0.622702E-06   0.538871E-07
   174   0.510328E+04  -0.401687E+02   0.167524E-03  -0.401687E+02   0.856661E+00  -0.622911E-06   0.167524E-03  -0.622911E-06   0.535630E-07
   175   0.512942E+04  -0.396599E+02   0.166036E-03  -0.396599E+02   0.846866E+00  -0.622295E-06   0.166036E-03  -0.622295E-06   0.532418E-07
   176   0.515508E+04  -0.391249E+02   0.164561E-03  -0.391249E+02   0.837085E+00  -0.620775E-06   0.164561E-03  -0.620775E-06   0.529236E-07
