#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.184518E+00   0.992135E+06   0.987256E+06  -0.108241E+01   0.177981E+01   0.309396E+05   0.986771E+06   0.991316E+06   0.986771E+06  -0.222726E-01   0.483530E+06   0.483470E+06   0.109106E+00
   0.190860E+00   0.955079E+06   0.950744E+06  -0.203198E+00   0.160146E+01   0.282373E+05   0.949968E+06   0.954351E+06   0.949968E+06  -0.214419E-01   0.465498E+06   0.465443E+06   0.967470E-01
   0.197202E+00   0.914631E+06   0.910510E+06   0.803285E-01   0.143659E+01   0.256725E+05   0.909735E+06   0.913939E+06   0.909735E+06  -0.205338E-01   0.445785E+06   0.445732E+06   0.899562E-01
   0.203544E+00   0.871166E+06   0.866996E+06  -0.350230E+00   0.128431E+01   0.232449E+05   0.866456E+06   0.870466E+06   0.866456E+06  -0.195570E-01   0.424579E+06   0.424526E+06   0.870116E-01
   0.209887E+00   0.827072E+06   0.822730E+06  -0.314009E+00   0.114664E+01   0.210049E+05   0.822532E+06   0.826343E+06   0.822532E+06  -0.185655E-01   0.403058E+06   0.403004E+06   0.855691E-01
   0.216229E+00   0.785421E+06   0.780935E+06  -0.259972E-01   0.102588E+01   0.190090E+05   0.781044E+06   0.784668E+06   0.781044E+06  -0.176291E-01   0.382730E+06   0.382675E+06   0.835798E-01
   0.222571E+00   0.748671E+06   0.744177E+06  -0.121725E+00   0.922893E+00   0.172880E+05   0.744459E+06   0.747916E+06   0.744459E+06  -0.168033E-01   0.364803E+06   0.364750E+06   0.798866E-01
   0.228914E+00   0.717847E+06   0.713516E+06  -0.962361E-01   0.836537E+00   0.158335E+05   0.713801E+06   0.717120E+06   0.713801E+06  -0.161114E-01   0.349781E+06   0.349730E+06   0.743760E-01
   0.235256E+00   0.692394E+06   0.688363E+06   0.131926E+00   0.763984E+00   0.146038E+05   0.688513E+06   0.691717E+06   0.688513E+06  -0.155406E-01   0.337390E+06   0.337342E+06   0.677428E-01
   0.241598E+00   0.670616E+06   0.666942E+06  -0.734784E-02   0.701654E+00   0.135393E+05   0.666892E+06   0.669999E+06   0.666892E+06  -0.150526E-01   0.326795E+06   0.326751E+06   0.610419E-01
   0.247941E+00   0.650434E+06   0.647089E+06  -0.299401E+00   0.646204E+00   0.125821E+05   0.646856E+06   0.649872E+06   0.646856E+06  -0.146003E-01   0.316978E+06   0.316937E+06   0.552278E-01
   0.254283E+00   0.630139E+06   0.627031E+06  -0.256701E+00   0.595222E+00   0.116895E+05   0.626693E+06   0.629617E+06   0.626693E+06  -0.141452E-01   0.307098E+06   0.307059E+06   0.508418E-01
   0.260625E+00   0.608868E+06   0.605883E+06  -0.805138E-01   0.547482E+00   0.108408E+05   0.605539E+06   0.608367E+06   0.605539E+06  -0.136678E-01   0.296732E+06   0.296695E+06   0.479146E-01
   0.266968E+00   0.586702E+06   0.583748E+06  -0.120655E+00   0.502771E+00   0.100342E+05   0.583480E+06   0.586206E+06   0.583480E+06  -0.131698E-01   0.285923E+06   0.285886E+06   0.460661E-01
   0.273310E+00   0.564424E+06   0.561451E+06  -0.101029E+00   0.461474E+00   0.927989E+04   0.561300E+06   0.563925E+06   0.561300E+06  -0.126692E-01   0.275055E+06   0.275018E+06   0.447215E-01
   0.279652E+00   0.543080E+06   0.540092E+06  -0.201089E-01   0.424095E+00   0.859024E+04   0.540052E+06   0.542579E+06   0.540052E+06  -0.121896E-01   0.264643E+06   0.264607E+06   0.433427E-01
   0.285995E+00   0.523543E+06   0.520581E+06  -0.942792E-01   0.390896E+00   0.797304E+04   0.520608E+06   0.523046E+06   0.520608E+06  -0.117508E-01   0.255116E+06   0.255080E+06   0.415941E-01
   0.292337E+00   0.506222E+06   0.503342E+06  -0.187530E+00   0.361739E+00   0.742782E+04   0.503380E+06   0.505738E+06   0.503380E+06  -0.113619E-01   0.246674E+06   0.246639E+06   0.394025E-01
