#    L    TT             EE             BB             TE             PP             TP             EP          
   211   0.555901E+04   0.684574E+00   0.000000E+00   0.816205E+00   0.478796E-07   0.130835E-03  -0.155546E-06
   212   0.556427E+04   0.695701E+00   0.000000E+00   0.225741E+01   0.476322E-07   0.129708E-03  -0.140781E-06
   213   0.556900E+04   0.708066E+00   0.000000E+00   0.371464E+01   0.473869E-07   0.128590E-03  -0.126100E-06
   214   0.557308E+04   0.721663E+00   0.000000E+00   0.518670E+01   0.471436E-07   0.127482E-03  -0.111502E-06
   215   0.557656E+04   0.736682E+00   0.000000E+00   0.667286E+01   0.469023E-07   0.126383E-03  -0.969874E-07
   216   0.557939E+04   0.752938E+00   0.000000E+00   0.817365E+01   0.466629E-07   0.125294E-03  -0.825555E-07
   217   0.558169E+04   0.770585E+00   0.000000E+00   0.968708E+01   0.464255E-07   0.124214E-03  -0.682058E-07
   218   0.558334E+04   0.789622E+00   0.000000E+00   0.112134E+02   0.461900E-07   0.123143E-03  -0.539379E-07
   219   0.558439E+04   0.810049E+00   0.000000E+00   0.127535E+02   0.459564E-07   0.122081E-03  -0.397512E-07
   220   0.558486E+04   0.832014E+00   0.000000E+00   0.143031E+02   0.457247E-07   0.121029E-03  -0.256454E-07
   221   0.558474E+04   0.855440E+00   0.000000E+00   0.158642E+02   0.454949E-07   0.119986E-03  -0.116199E-07
   222   0.558402E+04   0.880476E+00   0.000000E+00   0.174356E+02   0.452669E-07   0.118951E-03   0.232575E-08
   223   0.558257E+04   0.907047E+00   0.000000E+00   0.190178E+02   0.450407E-07   0.117926E-03   0.161919E-07
   224   0.558067E+04   0.935151E+00   0.000000E+00   0.206073E+02   0.448164E-07   0.116910E-03   0.299792E-07
   225   0.557811E+04   0.964936E+00   0.000000E+00   0.222069E+02   0.445939E-07   0.115904E-03   0.436879E-07
   226   0.557497E+04   0.996402E+00   0.000000E+00   0.238131E+02   0.443731E-07   0.114906E-03   0.573186E-07
   227   0.557115E+04   0.102955E+01   0.000000E+00   0.254272E+02   0.441540E-07   0.113917E-03   0.708717E-07
   228   0.556682E+04   0.106437E+01   0.000000E+00   0.270479E+02   0.439368E-07   0.112937E-03   0.843477E-07
   229   0.556190E+04   0.110095E+01   0.000000E+00   0.286735E+02   0.437212E-07   0.111966E-03   0.977470E-07
