#    L    TT             EE             BB             TE             PP             TP             EP          
   178   0.521759E+04   0.814746E+00   0.000000E+00  -0.378240E+02   0.781100E-07  -0.366350E-03  -0.688756E-06
   179   0.524195E+04   0.804896E+00   0.000000E+00  -0.372034E+02   0.775921E-07  -0.361408E-03  -0.683661E-06
   180   0.526604E+04   0.795120E+00   0.000000E+00  -0.365576E+02   0.770794E-07  -0.356562E-03  -0.677795E-06
   181   0.528964E+04   0.785414E+00   0.000000E+00  -0.358865E+02   0.765718E-07  -0.351811E-03  -0.671192E-06
   182   0.531282E+04   0.775847E+00   0.000000E+00  -0.351886E+02   0.760693E-07  -0.347153E-03  -0.663886E-06
   183   0.533552E+04   0.766340E+00   0.000000E+00  -0.344654E+02   0.755718E-07  -0.342586E-03  -0.655911E-06
   184   0.535788E+04   0.756963E+00   0.000000E+00  -0.337159E+02   0.750792E-07  -0.338106E-03  -0.647302E-06
   185   0.537982E+04   0.747858E+00   0.000000E+00  -0.329423E+02   0.745915E-07  -0.333712E-03  -0.638093E-06
   186   0.540098E+04   0.738881E+00   0.000000E+00  -0.321417E+02   0.741085E-07  -0.329402E-03  -0.628319E-06
   187   0.542203E+04   0.730167E+00   0.000000E+00  -0.313154E+02   0.736304E-07  -0.325173E-03  -0.618012E-06
   188   0.544259E+04   0.721697E+00   0.000000E+00  -0.304648E+02   0.731568E-07  -0.321023E-03  -0.607209E-06
   189   0.546259E+04   0.713503E+00   0.000000E+00  -0.295884E+02   0.726879E-07  -0.316949E-03  -0.595942E-06
   190   0.548248E+04   0.705632E+00   0.000000E+00  -0.286883E+02   0.722236E-07  -0.312951E-03  -0.584247E-06
   191   0.550152E+04   0.698101E+00   0.000000E+00  -0.277615E+02   0.717637E-07  -0.309024E-03  -0.572157E-06
   192   0.552022E+04   0.690928E+00   0.000000E+00  -0.268101E+02   0.713083E-07  -0.305168E-03  -0.559707E-06
   193   0.553837E+04   0.684153E+00   0.000000E+00  -0.258357E+02   0.708572E-07  -0.301380E-03  -0.546931E-06
   194   0.555619E+04   0.677800E+00   0.000000E+00  -0.248358E+02   0.704105E-07  -0.297657E-03  -0.533863E-06
   195   0.557345E+04   0.671902E+00   0.000000E+00  -0.238126E+02   0.699680E-07  -0.293998E-03  -0.520537E-06
   196   0.559016E+04   0.666491E+00   0.000000E+00  -0.227653E+02   0.695296E-07  -0.290399E-03  -0.506988E-06
   197   0.560646E+04   0.661607E+00   0.000000E+00  -0.216953E+02   0.690954E-07  -0.286860E-03  -0.493250E-06
   198   0.562229E+04   0.657267E+00   0.000000E+00  -0.206019E+02   0.686652E-07  -0.283377E-03  -0.479356E-06
   199   0.563764E+04   0.653503E+00   0.000000E+00  -0.194857E+02   0.682390E-07  -0.279948E-03  -0.465342E-06
   200   0.565251E+04   0.650340E+00   0.000000E+00  -0.183473E+02   0.678167E-07  -0.276572E-03  -0.451241E-06
   201   0.566683E+04   0.647834E+00   0.000000E+00  -0.171859E+02   0.673983E-07  -0.273245E-03  -0.437082E-06
   202   0.568068E+04   0.645991E+00   0.000000E+00  -0.160030E+02   0.669838E-07  -0.269968E-03  -0.422874E-06
   203   0.569397E+04   0.644872E+00   0.000000E+00  -0.147977E+02   0.665730E-07  -0.266740E-03  -0.408620E-06
   204   0.570664E+04   0.644498E+00   0.000000E+00  -0.135730E+02   0.661660E-07  -0.263560E-03  -0.394323E-06
   205   0.571882E+04   0.644915E+00   0.000000E+00  -0.123264E+02   0.657627E-07  -0.260427E-03  -0.379986E-06
   206   0.573038E+04   0.646160E+00   0.000000E+00  -0.110592E+02   0.653631E-07  -0.257341E-03  -0.365612E-06
   207   0.574145E+04   0.648256E+00   0.000000E+00  -0.977185E+01   0.649672E-07  -0.254302E-03  -0.351204E-06
   208   0.575181E+04   0.651254E+00   0.000000E+00  -0.846465E+01   0.645749E-07  -0.251308E-03  -0.336766E-06
   209   0.576161E+04   0.655178E+00   0.000000E+00  -0.713794E+01   0.641861E-07  -0.248359E-03  -0.322301E-06
   210   0.577086E+04   0.660080E+00   0.000000E+00  -0.579253E+01   0.638009E-07  -0.245455E-03  -0.307811E-06
   211   0.577953E+04   0.665989E+00   0.000000E+00  -0.442841E+01   0.634193E-07  -0.242594E-03  -0.293300E-06
   212   0.578750E+04   0.672936E+00   0.000000E+00  -0.304642E+01   0.630411E-07  -0.239777E-03  -0.278771E-06
   213   0.579497E+04   0.680965E+00   0.000000E+00  -0.164645E+01   0.626663E-07  -0.237002E-03  -0.264228E-06
   214   0.580181E+04   0.690070E+00   0.000000E+00  -0.229611E+00   0.622950E-07  -0.234270E-03  -0.249673E-06
   215   0.580807E+04   0.700443E+00   0.000000E+00   0.120343E+01   0.619270E-07  -0.231579E-03  -0.235109E-06
   216   0.581369E+04   0.711900E+00   0.000000E+00   0.265326E+01   0.615623E-07  -0.228929E-03  -0.220540E-06
   217   0.581881E+04   0.724596E+00   0.000000E+00   0.411797E+01   0.612010E-07  -0.226319E-03  -0.205968E-06
   218   0.582329E+04   0.738533E+00   0.000000E+00   0.559786E+01   0.608430E-07  -0.223749E-03  -0.191398E-06
   219   0.582720E+04   0.753709E+00   0.000000E+00   0.709397E+01   0.604881E-07  -0.221218E-03  -0.176831E-06
   220   0.583052E+04   0.770275E+00   0.000000E+00   0.860192E+01   0.601365E-07  -0.218726E-03  -0.162272E-06
   221   0.583328E+04   0.788155E+00   0.000000E+00   0.101240E+02   0.597880E-07  -0.216271E-03  -0.147723E-06
   222   0.583545E+04   0.807499E+00   0.000000E+00   0.116589E+02   0.594427E-07  -0.213854E-03  -0.133187E-06
   223   0.583690E+04   0.828233E+00   0.000000E+00   0.132073E+02   0.591004E-07  -0.211473E-03  -0.118668E-06
   224   0.583792E+04   0.850357E+00   0.000000E+00   0.147657E+02   0.587612E-07  -0.209129E-03  -0.104168E-06
   225   0.583828E+04   0.874021E+00   0.000000E+00   0.163370E+02   0.584251E-07  -0.206820E-03  -0.896919E-07
