#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.165394E+00   0.113093E+07   0.112355E+07   0.964622E+00  -0.139412E+01   0.000000E+00   0.112969E+07   0.112969E+07   0.112969E+07  -0.253777E-01   0.551112E+06   0.551026E+06   0.172080E+00
   0.171722E+00   0.108007E+07   0.107343E+07   0.854669E+00  -0.123516E+01   0.000000E+00   0.107895E+07   0.107895E+07   0.107895E+07  -0.242380E-01   0.526360E+06   0.526283E+06   0.150118E+00
   0.178051E+00   0.103971E+07   0.103399E+07   0.765401E+00  -0.110609E+01   0.000000E+00   0.103875E+07   0.103875E+07   0.103875E+07  -0.233348E-01   0.506746E+06   0.506677E+06   0.128179E+00
   0.184380E+00   0.100341E+07   0.998515E+06   0.688941E+00  -0.995549E+00   0.000000E+00   0.100259E+07   0.100259E+07   0.100259E+07  -0.225226E-01   0.489106E+06   0.489045E+06   0.109988E+00
   0.190708E+00   0.966127E+06   0.961779E+06   0.620098E+00  -0.896042E+00   0.000000E+00   0.965397E+06   0.965397E+06   0.965397E+06  -0.216871E-01   0.470961E+06   0.470905E+06   0.974897E-01
   0.197037E+00   0.925364E+06   0.921237E+06   0.556397E+00  -0.803996E+00   0.000000E+00   0.924671E+06   0.924671E+06   0.924671E+06  -0.207722E-01   0.451093E+06   0.451039E+06   0.905580E-01
   0.203366E+00   0.881486E+06   0.877316E+06   0.497507E+00  -0.718919E+00   0.000000E+00   0.880786E+06   0.880786E+06   0.880786E+06  -0.197863E-01   0.429684E+06   0.429631E+06   0.875080E-01
   0.209694E+00   0.837042E+06   0.832702E+06   0.444290E+00  -0.642043E+00   0.000000E+00   0.836314E+06   0.836314E+06   0.836314E+06  -0.187873E-01   0.407989E+06   0.407935E+06   0.860240E-01
   0.216023E+00   0.795015E+06   0.790528E+06   0.397578E+00  -0.574560E+00   0.000000E+00   0.794262E+06   0.794262E+06   0.794262E+06  -0.178426E-01   0.387475E+06   0.387421E+06   0.840490E-01
   0.222352E+00   0.757728E+06   0.753228E+06   0.357644E+00  -0.516861E+00   0.000000E+00   0.756973E+06   0.756973E+06   0.756973E+06  -0.170049E-01   0.369284E+06   0.369231E+06   0.803944E-01
   0.228680E+00   0.726426E+06   0.722083E+06   0.324152E+00  -0.468459E+00   0.000000E+00   0.725697E+06   0.725697E+06   0.725697E+06  -0.163023E-01   0.354027E+06   0.353975E+06   0.749240E-01
   0.235009E+00   0.700644E+06   0.696597E+06   0.296050E+00  -0.427838E+00   0.000000E+00   0.699965E+06   0.699965E+06   0.699965E+06  -0.157243E-01   0.341473E+06   0.341425E+06   0.683097E-01
   0.241338E+00   0.678525E+06   0.674834E+06   0.271886E+00  -0.392905E+00   0.000000E+00   0.677905E+06   0.677905E+06   0.677905E+06  -0.152287E-01   0.330711E+06   0.330667E+06   0.615863E-01
   0.247667E+00   0.658088E+06   0.654727E+06   0.250411E+00  -0.361862E+00   0.000000E+00   0.657523E+06   0.657523E+06   0.657523E+06  -0.147709E-01   0.320768E+06   0.320726E+06   0.557166E-01
   0.253995E+00   0.637739E+06   0.634619E+06   0.230737E+00  -0.333427E+00   0.000000E+00   0.637215E+06   0.637215E+06   0.637215E+06  -0.143147E-01   0.310860E+06   0.310821E+06   0.512632E-01
   0.260324E+00   0.616384E+06   0.613393E+06   0.212301E+00  -0.306785E+00   0.000000E+00   0.615881E+06   0.615881E+06   0.615881E+06  -0.138354E-01   0.300453E+06   0.300415E+06   0.482697E-01
   0.266653E+00   0.593985E+06   0.591028E+06   0.194984E+00  -0.281765E+00   0.000000E+00   0.593488E+06   0.593488E+06   0.593488E+06  -0.133324E-01   0.289529E+06   0.289492E+06   0.463699E-01
   0.272981E+00   0.571476E+06   0.568502E+06   0.178989E+00  -0.258655E+00   0.000000E+00   0.570977E+06   0.570977E+06   0.570977E+06  -0.128267E-01   0.278547E+06   0.278510E+06   0.450027E-01
   0.279310E+00   0.549915E+06   0.546924E+06   0.164510E+00  -0.237737E+00   0.000000E+00   0.549412E+06   0.549412E+06   0.549412E+06  -0.123422E-01   0.268027E+06   0.267990E+06   0.436269E-01
