#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   146   0.415495E+04  -0.439489E+02   0.233358E-03  -0.439489E+02   0.104102E+01  -0.786035E-06   0.233358E-03  -0.786035E-06   0.694612E-07
   147   0.418728E+04  -0.440551E+02   0.231094E-03  -0.440551E+02   0.103782E+01  -0.776896E-06   0.231094E-03  -0.776896E-06   0.690282E-07
   148   0.421946E+04  -0.441401E+02   0.228863E-03  -0.441401E+02   0.103411E+01  -0.768010E-06   0.228863E-03  -0.768010E-06   0.685989E-07
   149   0.425157E+04  -0.442026E+02   0.226663E-03  -0.442026E+02   0.102999E+01  -0.759565E-06   0.226663E-03  -0.759565E-06   0.681733E-07
   150   0.428338E+04  -0.442402E+02   0.224493E-03  -0.442402E+02   0.102551E+01  -0.751751E-06   0.224493E-03  -0.751751E-06   0.677514E-07
   151   0.431505E+04  -0.442561E+02   0.222354E-03  -0.442561E+02   0.102061E+01  -0.744714E-06   0.222354E-03  -0.744714E-06   0.673332E-07
   152   0.434643E+04  -0.442487E+02   0.220244E-03  -0.442487E+02   0.101521E+01  -0.738433E-06   0.220244E-03  -0.738433E-06   0.669185E-07
   153   0.437767E+04  -0.442159E+02   0.218163E-03  -0.442159E+02   0.100946E+01  -0.732843E-06   0.218163E-03  -0.732843E-06   0.665074E-07
   154   0.440868E+04  -0.441597E+02   0.216110E-03  -0.441597E+02   0.100336E+01  -0.727880E-06   0.216110E-03  -0.727880E-06   0.660998E-07
   155   0.443947E+04  -0.440795E+02   0.214085E-03  -0.440795E+02   0.996911E+00  -0.723480E-06   0.214085E-03  -0.723480E-06   0.656958E-07
   156   0.446990E+04  -0.439753E+02   0.212087E-03  -0.439753E+02   0.990111E+00  -0.719578E-06   0.212087E-03  -0.719578E-06   0.652953E-07
   157   0.450025E+04  -0.438456E+02   0.210116E-03  -0.438456E+02   0.982959E+00  -0.716110E-06   0.210116E-03  -0.716110E-06   0.648983E-07
   158   0.453030E+04  -0.436910E+02   0.208171E-03  -0.436910E+02   0.975531E+00  -0.713011E-06   0.208171E-03  -0.713011E-06   0.645047E-07
   159   0.456005E+04  -0.435117E+02   0.206252E-03  -0.435117E+02   0.967676E+00  -0.710218E-06   0.206252E-03  -0.710218E-06   0.641146E-07
   160   0.458958E+04  -0.433061E+02   0.204358E-03  -0.433061E+02   0.959543E+00  -0.707666E-06   0.204358E-03  -0.707666E-06   0.637278E-07
   161   0.461888E+04  -0.430757E+02   0.202489E-03  -0.430757E+02   0.951207E+00  -0.705290E-06   0.202489E-03  -0.705290E-06   0.633444E-07
   162   0.464788E+04  -0.428205E+02   0.200643E-03  -0.428205E+02   0.942518E+00  -0.703027E-06   0.200643E-03  -0.703027E-06   0.629644E-07
   163   0.467673E+04  -0.425390E+02   0.198822E-03  -0.425390E+02   0.933550E+00  -0.700811E-06   0.198822E-03  -0.700811E-06   0.625877E-07
   164   0.470513E+04  -0.422327E+02   0.197023E-03  -0.422327E+02   0.924377E+00  -0.698579E-06   0.197023E-03  -0.698579E-06   0.622142E-07
   165   0.473337E+04  -0.418993E+02   0.195247E-03  -0.418993E+02   0.914925E+00  -0.696267E-06   0.195247E-03  -0.696267E-06   0.618441E-07
   166   0.476131E+04  -0.415403E+02   0.193493E-03  -0.415403E+02   0.905342E+00  -0.693809E-06   0.193493E-03  -0.693809E-06   0.614772E-07
   167   0.478902E+04  -0.411565E+02   0.191761E-03  -0.411565E+02   0.895404E+00  -0.691142E-06   0.191761E-03  -0.691142E-06   0.611135E-07
   168   0.481628E+04  -0.407457E+02   0.190049E-03  -0.407457E+02   0.885484E+00  -0.688202E-06   0.190049E-03  -0.688202E-06   0.607530E-07
   169   0.484323E+04  -0.403077E+02   0.188358E-03  -0.403077E+02   0.875282E+00  -0.684923E-06   0.188358E-03  -0.684923E-06   0.603957E-07
   170   0.486987E+04  -0.398442E+02   0.186687E-03  -0.398442E+02   0.865022E+00  -0.681242E-06   0.186687E-03  -0.681242E-06   0.600415E-07
   171   0.489606E+04  -0.393528E+02   0.185035E-03  -0.393528E+02   0.854704E+00  -0.677094E-06   0.185035E-03  -0.677094E-06   0.596904E-07
   172   0.492186E+04  -0.388351E+02   0.183402E-03  -0.388351E+02   0.844253E+00  -0.672415E-06   0.183402E-03  -0.672415E-06   0.593425E-07
   173   0.494721E+04  -0.382910E+02   0.181788E-03  -0.382910E+02   0.833669E+00  -0.667141E-06   0.181788E-03  -0.667141E-06   0.589975E-07
   174   0.497224E+04  -0.377206E+02   0.180191E-03  -0.377206E+02   0.823248E+00  -0.661207E-06   0.180191E-03  -0.661207E-06   0.586557E-07
   175   0.499689E+04  -0.371230E+02   0.178612E-03  -0.371230E+02   0.812693E+00  -0.654549E-06   0.178612E-03  -0.654549E-06   0.583168E-07
   176   0.502101E+04  -0.364984E+02   0.177050E-03  -0.364984E+02   0.802226E+00  -0.647119E-06   0.177050E-03  -0.647119E-06   0.579809E-07
   177   0.504474E+04  -0.358481E+02   0.175504E-03  -0.358481E+02   0.791773E+00  -0.638936E-06   0.175504E-03  -0.638936E-06   0.576480E-07
